short_threshold,long_threshold,candidate_rows,trade_count,long_trade_count,short_trade_count,no_trade_rows,dual_signal_rows,valid_hit_rate,valid_mean_trade_return,valid_median_trade_return,valid_sum_return,valid_compounded_return,valid_max_drawdown,test_trade_count,test_long_trade_count,test_short_trade_count,test_no_trade_rows,test_dual_signal_rows,test_hit_rate,test_mean_trade_return,test_median_trade_return,test_sum_return,test_compounded_return,test_max_drawdown,valid_test_compounded_delta,valid_test_trade_delta
0.35,0.4,11756,1806,669,1137,6338,645,0.4833887043189369,-4.480577607680106e-05,-8.58756487565615e-05,-0.0809192315947027,-0.0879022485587458,-0.1602294547853583,908,203,705,3996,264,0.5209251101321586,0.00022314076794667496,0.00011690663092772668,0.20261181729558086,0.22119848030753686,-0.0296443731129018,0.30910072886628265,-898
0.35,0.35,11756,2058,1065,993,5582,1047,0.4961127308066083,-4.543296736680353e-05,-2.3679846183566333e-05,-0.0935010468408816,-0.0996684854902077,-0.139457830136073,1052,458,594,3565,625,0.5361216730038023,0.0001501014875278192,0.00018163341368060415,0.1579067648792658,0.16751893750460933,-0.04608308791938409,0.267187422994817,-1006
0.4,0.4,11756,1339,708,631,7739,387,0.508588498879761,-1.5332040804859994e-05,3.4957244958944145e-05,-0.0205296026377075,-0.0302748714302867,-0.1272566764257651,613,222,391,4881,199,0.5464926590538336,0.00023770767962341273,0.00022950992090253752,0.145714807609152,0.1541438981536618,-0.04382475290026522,0.1844187695839485,-726
0.35,0.45,11756,1711,347,1364,6623,299,0.461718293395675,-8.806189009820118e-05,-0.0002413016435196,-0.1506738939580222,-0.1491249114359737,-0.1788356758999629,882,65,817,4074,74,0.5124716553287982,0.00014090322840754847,9.431671635706795e-05,0.12427664745545774,0.12921230747600632,-0.04150172723627865,0.27833721891198004,-829
0.4,0.45,11756,1106,370,736,8438,171,0.4620253164556962,-9.185046198382344e-05,-0.0002786445488139,-0.1015866109541087,-0.1058610784424761,-0.1138713499257942,515,70,445,5175,54,0.5398058252427185,0.00021151988536565128,0.0002920981216676388,0.1089327409633104,0.11254603015823417,-0.04224608854605483,0.21840710860071028,-591
0.4,0.5,11756,1007,166,841,8735,67,0.4587884806355511,-4.582306641468877e-05,-0.0002912260860912,-0.0461438278795915,-0.0542383078707853,-0.1020010553224661,499,13,486,5223,6,0.5390781563126252,0.000209333371656065,0.00026307036496442393,0.10445735245637644,0.10761363805403867,-0.04157397306646793,0.16185194592482396,-508
0.45,0.55,11756,502,83,419,10250,0,0.4920318725099601,-1.9860546832180607e-05,-7.061319691281653e-05,-0.0099699945097546,-0.016052199140207,-0.1345627776966875,224,1,223,6048,0,0.5401785714285714,0.00038764830952967954,0.00031844704190581163,0.08683322133464821,0.08949892148158045,-0.02840822538302934,0.10555112062178745,-278
0.4,0.35,11756,1786,1181,605,6398,608,0.5151175811870101,-2.31676737948543e-05,9.586122317251088e-05,-0.0413774653976097,-0.0511611240610647,-0.1024206786953774,924,562,362,3949,377,0.5248917748917749,9.283581488032999e-05,0.00013859795169157696,0.08578029294942491,0.0864470596402318,-0.03846946591973477,0.13760818370129652,-862
0.4,0.55,11756,976,77,899,8828,20,0.4764344262295082,-0.0001040133471545,-0.0002083917596218,-0.1015170268228662,-0.1051680698033065,-0.1617517637564266,494,1,493,5238,0,0.5323886639676113,0.00016987936625077721,0.00023352402546811257,0.08392040692788394,0.08508909227555828,-0.04157397306646793,0.19025716207886478,-482
0.45,0.4,11756,1126,786,340,8378,145,0.5150976909413855,1.7003750480664925e-06,0.0001009799227966,0.0019146223041228,-0.0076501812401386,-0.0811362734885792,487,300,187,5259,75,0.5030800821355236,0.00017135323040745758,9.972575417571683e-06,0.08344902320843184,0.08500757092209965,-0.0379188585910093,0.09265775216223825,-639
