short_threshold,long_threshold,candidate_rows,trade_count,long_trade_count,short_trade_count,no_trade_rows,dual_signal_rows,valid_hit_rate,valid_mean_trade_return,valid_median_trade_return,valid_sum_return,valid_compounded_return,valid_max_drawdown,test_trade_count,test_long_trade_count,test_short_trade_count,test_no_trade_rows,test_dual_signal_rows,test_hit_rate,test_mean_trade_return,test_median_trade_return,test_sum_return,test_compounded_return,test_max_drawdown,valid_test_compounded_delta,valid_test_trade_delta
0.45,0.65,11756,459,25,434,10379,0,0.5032679738562091,-7.322303702950221e-05,7.578890483395107e-05,-0.0336093739965415,-0.0372657294007185,-0.0990430394567657,223,0,223,6051,0,0.5381165919282511,0.00036688116557436466,0.0003093869656490833,0.08181449992308332,0.08405833470580704,-0.02840822538302934,0.12132406410652553,-236
0.45,0.6,11756,477,47,430,10325,0,0.4968553459119497,-8.666944941183988e-05,-5.060639108123155e-05,-0.0413413273694476,-0.0457412426863963,-0.1156276936375155,223,0,223,6051,0,0.5381165919282511,0.00036688116557436466,0.0003093869656490833,0.08181449992308332,0.08405833470580704,-0.02840822538302934,0.12979957739220332,-254
0.45,0.5,11756,573,183,390,10037,23,0.4973821989528796,0.0001664917618748,-5.060639108123155e-05,0.0953997795543117,0.0913737225176947,-0.0667109997498281,238,18,220,6006,1,0.5294117647058824,0.000343011218438782,0.00015727171896773307,0.08163666998843011,0.08383410623339027,-0.027663430870995986,-0.007539616284304426,-335
0.35,0.5,11756,1675,151,1524,6731,125,0.466865671641791,-4.611327246551022e-05,-0.0002290423687663,-0.0772397313797296,-0.0842627814567736,-0.1460540685890943,880,13,867,4080,13,0.5102272727272728,9.332318562398179e-05,8.989933038849873e-05,0.08212440334910398,0.08260860671226355,-0.04150172723627865,0.16687138816903715,-795
0.4,0.65,11756,957,23,934,8885,0,0.4796238244514106,-0.000115296287949,-0.0001340170061996,-0.1103385475672358,-0.1115052281559172,-0.1765411519721185,493,0,493,5241,0,0.5314401622718052,0.00016004398684851733,0.00022950992090253752,0.07890168551631904,0.07967052668584507,-0.04157397306646793,0.19117575484176225,-464
0.4,0.6,11756,966,38,928,8858,0,0.4813664596273292,-0.0001392400686936,-0.000142303259217,-0.1345059063580646,-0.1340246577451685,-0.1974122073068864,493,0,493,5241,0,0.5314401622718052,0.00016004398684851733,0.00022950992090253752,0.07890168551631904,0.07967052668584507,-0.04157397306646793,0.21369518443101357,-473
0.55,0.4,11756,946,903,43,8918,9,0.5317124735729387,0.0001341540367399,0.0002556607806244,0.1269097187559557,0.1254204703980754,-0.0759199103320819,394,377,17,5538,1,0.5050761421319797,0.00018037688620156772,3.274646267048542e-05,0.07106849316341768,0.07198018207064072,-0.031153421407774995,-0.05344028832743469,-552
0.45,0.45,11756,766,400,366,9458,58,0.4908616187989556,3.726688845084216e-05,-7.347980044858371e-05,0.0285464365533451,0.019949900924044,-0.0690160108650744,288,86,202,5856,21,0.5138888888888888,0.00024220470523949114,0.00010045809519332316,0.06975495510897345,0.07076330453563662,-0.030939767855507894,0.05081340361159262,-478
0.35,0.55,11756,1668,66,1602,6752,49,0.4718225419664268,-7.906986974717199e-05,-0.0001806853367177,-0.1318885427382828,-0.1330069655394107,-0.1983740947935923,880,1,879,4080,1,0.5102272727272728,6.688789231872378e-05,8.989933038849873e-05,0.058861345240476926,0.05771424807016223,-0.04666597832022146,0.19072121360957292,-788
0.6,0.45,11756,451,441,10,10403,0,0.4944567627494456,0.0001019285434983,-0.0001001892344255,0.0459697731177702,0.0403950661152707,-0.0820630969092683,119,112,7,6363,0,0.4957983193277311,0.0004713487595286965,-6.040337372981153e-05,0.056090502383914886,0.057094001394708105,-0.01798178240522519,0.016698935279437402,-332
