min_margin,valid_candidate_rows,valid_trade_count,valid_long_trade_count,valid_short_trade_count,valid_threshold_no_trade_rows,valid_margin_rejected_rows,valid_dual_signal_rows,valid_hit_rate,valid_mean_trade_return,valid_median_trade_return,valid_sum_return,valid_compounded_return,valid_max_drawdown,test_candidate_rows,test_trade_count,test_long_trade_count,test_short_trade_count,test_threshold_no_trade_rows,test_margin_rejected_rows,test_dual_signal_rows,test_hit_rate,test_mean_trade_return,test_median_trade_return,test_sum_return,test_compounded_return,test_max_drawdown,valid_test_compounded_delta
0.08,11756,788,386,402,5447,3945,2808,0.5038071065989848,6.813151745636023e-05,3.538600834496197e-05,0.05368763575561186,0.04836312609546378,-0.0824605928756158,6720,232,58,174,3510,2514,1894,0.49137931034482757,0.00023047728400264612,-3.5348407073698684e-05,0.0534707298886139,0.053814985665277204,-0.0438285924527374,0.005451859569813422
0.07,11756,940,470,470,5437,3499,2624,0.4946808510638298,4.749334264166019e-05,-4.0493722370582574e-05,0.044643742083160576,0.038468079346116735,-0.08559613493453211,6720,304,91,213,3505,2303,1790,0.5164473684210527,0.0003130628178762217,7.946662292901419e-05,0.0951710966343714,0.09846579383353515,-0.041178102286734464,0.05999771448741842
0.09,11756,676,339,337,5450,4278,2966,0.4911242603550296,5.0101711881661076e-05,-6.22146751761421e-05,0.03386875723200289,0.028192487018572132,-0.09484975837232534,6720,183,45,138,3513,2658,1960,0.4808743169398907,0.0002242004950488445,-0.000220470320260846,0.041028690593938544,0.04098226735538946,-0.035600684486509326,0.012789780336817325
0.1,11756,596,298,298,5451,4517,3076,0.49161073825503354,2.0503831381676976e-05,-6.077807874121932e-05,0.012220283503479479,0.006470980532875981,-0.10192752886971068,6720,151,31,120,3514,2753,2007,0.5231788079470199,0.00031670820971329823,0.00019116819057896084,0.04782293966670803,0.04817146702403918,-0.029570931622036833,0.0417004864911632
0.06,11756,1089,553,536,5416,3073,2443,0.4986225895316804,-4.367942514577933e-06,-1.1747827709185366e-05,-0.004756689398375369,-0.012194119546819482,-0.09733668905752813,6720,370,121,249,3496,2114,1696,0.527027027027027,0.00036149605599615085,0.00014598193524228975,0.13375354071857581,0.1414426662662165,-0.03188096567092491,0.15363678581303597
0.03,11756,1593,826,767,5344,1633,1807,0.49843063402385435,-3.547054708704867e-05,0.0,-0.05650458150966853,-0.06368382414241092,-0.10787017727976111,6720,716,299,417,3426,1147,1249,0.5460893854748603,0.00022866543378479969,0.0002975394230169681,0.16372445058991658,0.1751327500078388,-0.032392922646186095,0.2388165741502497
0.05,11756,1229,626,603,5405,2664,2271,0.5036615134255492,-5.004440904123617e-05,2.0334825096113285e-05,-0.06150457871167925,-0.06719793218405179,-0.10780083574005872,6720,470,162,308,3489,1821,1566,0.5468085106382978,0.00036793118015071547,0.0003062374325493167,0.17292765467083626,0.18666048795549361,-0.033085895137270005,0.2538584201395454
0.02,11756,1743,908,835,5307,1220,1621,0.48709122203098104,-4.2797712898587626e-05,-7.455127587063792e-05,-0.07459641358223823,-0.0809490368570247,-0.12034211039898124,6720,868,365,503,3403,714,1052,0.5483870967741935,0.00025954476030548936,0.00025675438569106035,0.2252848519451648,0.24942421459534359,-0.034022991718177464,0.3303732514523683
0.04,11756,1409,729,680,5365,2164,2040,0.49396735273243436,-5.55715191216258e-05,-1.6147777476605008e-05,-0.07830027044237076,-0.08446342325336598,-0.12658476007551844,6720,584,217,367,3460,1508,1432,0.5325342465753424,0.0002602497992998655,0.00019735873483278654,0.15198588279112146,0.16177149019358694,-0.04461625892342169,0.24623491344695292
0.0,11756,2056,1064,992,5156,432,1316,0.4985408560311284,-3.888141076871672e-05,-6.006326887297853e-06,-0.07994018054048158,-0.08739882638000762,-0.12190798826594951,6720,1083,482,601,3306,167,791,0.543859649122807,0.00017605841362344437,0.00021425667073016186,0.19067126195419026,0.20636129068714015,-0.04617461791265387,0.2937601170671478
0.01,11756,1932,1004,928,5231,729,1439,0.4849896480331263,-8.041883639478553e-05,-8.229076379884237e-05,-0.15536919191472565,-0.15248560666557598,-0.1573669537257978,6720,988,421,567,3357,400,896,0.5374493927125507,0.00017580505222367497,0.0002041780974643137,0.17369539159699088,0.18621508497460337,-0.03803752787096315,0.33870069164017935
