feature,importance_mean,importance_std,rank,importance_pct_of_base_macro_f1
atr_50,0.06350882581775287,0.0035040301837173924,1,0.13862642232789874
ema9_ema20_diff,0.06075515382758234,0.004722947232694692,2,0.1326157349730842
close_ema20_ratio,0.03901007183794906,0.005108108195734377,3,0.08515079005188479
close_ema50_ratio,0.03538672304006303,0.0037113169717777777,4,0.07724178096173995
ema20_ema50_diff,0.03487067126172696,0.004547546554579294,5,0.07611534836208886
ema50_ema200_diff,0.027912922094904608,0.0034972897747799535,6,0.060928043888544614
historical_vol_20,0.023929965595722073,0.003489429893546438,7,0.0522340867470006
hl_range,0.01949300172682408,0.00389416269989099,8,0.04254912691309441
return_1_over_atr_14,0.017282224579001103,0.0023547981350255853,9,0.03772346492642128
top3_weighted_return_1,0.015411305121985932,0.0032613402622055365,10,0.033639640868109555
log_return_1,0.014366809291092821,0.003911207114168884,11,0.03135972593803943
atr_14_over_atr_50,0.013891765369118944,0.002887727839097211,12,0.030322804872283497
nvda_xnas_log_return_1,0.013870746181444297,0.0047358750203553325,13,0.03027692440212748
trix_15,0.01340300979047715,0.004095629284301317,14,0.029255954141105687
atr_14,0.012402298079333957,0.0038128286971836076,15,0.0270716107445595
roc_12,0.010846322218928292,0.0037147654260523484,16,0.023675242381907203
us100_minus_top3_weighted_return_1,0.010128254722591785,0.0030550973488735612,17,0.022107851917269515
di_spread_14,0.009728690903404433,0.004652908618115907,18,0.021235688056067556
return_zscore_20,0.009134790293914698,0.003219516999465661,19,0.019939327815552667
ppo_hist_12_26_9,0.008596527267170742,0.0034111524303907896,20,0.018764412727639915
aapl_xnas_log_return_1,0.00824012786787695,0.003178592919993575,21,0.01798646772538639
sma50_sma200_ratio,0.008197982312629143,0.0035920929718042845,22,0.017894472833876473
msft_xnas_log_return_1,0.00537473517187168,0.003018003078074525,23,0.011731917544415058
mega8_dispersion_5,0.0034670358399386757,0.0025026488432380476,24,0.007567810747320565
minutes_from_cash_open,0.0032530630860625243,0.002055010799131586,25,0.007100753185421708
vortex_indicator,0.0031393425422108377,0.0015128530258982785,26,0.00685252513307854
rsi_50,0.0030979895884787724,0.002096781101543259,27,0.006762260324136586
historical_vol_5_over_20,0.003058888742235699,0.0017264570774373472,28,0.006676911392631772
ema20_ema50_spread_zscore_50,0.0015752095344859524,0.0010949616553015372,29,0.0034383514318027555
vix_zscore_20,0.0014176145104690314,0.0041858348960161695,30,0.0030943546081354835
stochrsi_kd_diff,0.0013835572769934274,0.0015886745891077866,31,0.0030200148235414942
bollinger_width_20,0.0013753317070329368,0.0015587470660174015,32,0.0030020601326690346
rsi_14,0.0011068944990181879,0.002858869770865138,33,0.00241611811142051
rsi_14_minus_50,0.0011068944990181879,0.002858869770865138,34,0.00241611811142051
amzn_xnas_log_return_1,0.0009843740859366013,0.0011688259858634769,35,0.002148681793571143
mega8_equal_return_1,0.0007499345523580697,0.000989626007296141,36,0.0016369495520481329
is_us_cash_open,0.0006759311251874151,0.001237230075603945,37,0.0014754156200855082
usdx_change_1,0.0006537195180131072,0.0010615499700643049,38,0.001426932348712126
us10yr_change_1,0.0006310644234992196,0.0005977574225183128,39,0.0013774810376617058
log_return_3,0.0006308122897438817,0.0009324333414718809,40,0.0013769306826519803
close_open_ratio,0.0005510743029971509,0.0023999012265888296,41,0.001202879412076627
close_prev_close_ratio,0.00044180084657304,0.002121280562221271,42,0.000964358417168804
us100_minus_mega8_equal_return_1,0.00036826569741834345,0.0011137540023593694,43,0.0008038466377207507
supertrend_10_3,0.000347427679626755,0.0021318831777512714,44,0.0007583616233521569
us10yr_zscore_20,0.00011857967200794573,0.00227769342232123,45,0.00025883450811150317
adx_14,0.00011206670383614725,0.0008528392281753058,46,0.00024461806709300904
rsi_14_slope_3,4.223287642113327e-05,0.0015599679937561145,47,9.218549528341965e-05
is_first_30m_after_open,0.0,0.0,48,0.0
gap_percent,-2.8651966262374652e-05,0.0008834657265890059,49,-6.254122201866262e-05
bb_position_20,-6.571987520573308e-05,0.002099586638723282,50,-0.0001434526785576322
is_last_30m_before_cash_close,-0.00020934849931603938,0.0009544353778725169,51,-0.00045696378583942696
bb_squeeze,-0.00030282879768688263,0.0010008584238977679,52,-0.0006610116351648363
vix_change_1,-0.00032669906771721493,0.0008807535888426447,53,-0.0007131154190357835
overnight_return,-0.0009805829952572065,0.0011589196710449893,54,-0.0021404066391994777
hl_zscore_50,-0.0010317677901255568,0.0017006489790408492,55,-0.0022521322914820195
stoch_kd_diff,-0.0010840995379649942,0.002285722715563804,56,-0.002366361501103449
usdx_zscore_20,-0.001557365335309896,0.0013225395329887737,57,-0.003399401294412691
mega8_pos_breadth_1,-0.0015676396316622542,0.002063211587379227,58,-0.003421827924521571
