run_name,model_family,train_rows,valid_rows,test_rows,valid_macro_f1,valid_balanced_accuracy,valid_accuracy,valid_log_loss,best_iteration,horizon_bars,band
01C_run_0001_h03_band000125_logreg,logistic_regression,34695,11756,6720,0.44980101306356324,0.4546410666916348,0.5415957808778497,1.011971909541384,0,3,0.00125
01C_run_0002_h03_band000125_lightgbm,lightgbm,34695,11756,6720,0.44714591751552973,0.44965238582591044,0.5518883974140865,0.9407245831316754,500,3,0.00125
01C_run_0001_h03_band000100_logreg,logistic_regression,34695,11756,6720,0.4451254401030759,0.44609228334759304,0.5082511058183056,1.0264883903098676,0,3,0.001
01C_run_0001_h06_band000150_logreg,logistic_regression,34695,11756,6720,0.4444003880418779,0.44532559696133406,0.5164171486900306,1.0248542884642249,0,6,0.0015
01C_run_0001_h03_band000150_logreg,logistic_regression,34695,11756,6720,0.44337051152302664,0.4592031436935285,0.5584382443007826,1.007499464378324,0,3,0.0015
01C_run_0002_h03_band000100_lightgbm,lightgbm,34695,11756,6720,0.44282256501750683,0.4435921980386582,0.4988091187478734,0.9947362096589438,157,3,0.001
01C_run_0002_h03_band000150_lightgbm,lightgbm,34695,11756,6720,0.440649760059384,0.4485899665859156,0.5746852670976522,0.8974589881475591,500,3,0.0015
01C_run_0001_h06_band000125_logreg,logistic_regression,34695,11756,6720,0.4377568428760091,0.43880858321717303,0.48860156515821707,1.0352598870524075,0,6,0.00125
01C_run_0002_h06_band000150_lightgbm,lightgbm,34695,11756,6720,0.43661009159967823,0.43778668912699975,0.5042531473290235,0.9973892630811968,110,6,0.0015
01C_run_0002_h06_band000125_lightgbm,lightgbm,34695,11756,6720,0.4357346866182666,0.4359602548869244,0.4809458999659748,1.018597728675886,86,6,0.00125
01C_run_0002_h12_band000150_lightgbm,lightgbm,34694,11755,6720,0.43428948128217315,0.43493694167342917,0.46201616333475115,1.0404473648839903,43,12,0.0015
01C_run_0001_h12_band000150_logreg,logistic_regression,34694,11755,6720,0.43089884229176967,0.4337836378693816,0.4666950233943003,1.0548549972448042,0,12,0.0015
01C_run_0001_h06_band000100_logreg,logistic_regression,34695,11756,6720,0.4293986069014577,0.43538639844803145,0.4584042191221504,1.04972331196142,0,6,0.001
01C_run_0002_h06_band000100_lightgbm,lightgbm,34695,11756,6720,0.42045150944788245,0.42424349185030524,0.4435182034705682,1.0410081191100433,45,6,0.001
01C_run_0002_h12_band000125_lightgbm,lightgbm,34694,11755,6720,0.4200153555065491,0.4249101984176959,0.43700552956188854,1.0526986017973015,36,12,0.00125
01C_run_0001_h12_band000125_logreg,logistic_regression,34694,11755,6720,0.4192604787839988,0.42803366187908504,0.4412590387069332,1.061580865657414,0,12,0.00125
01C_run_0002_h12_band000100_lightgbm,lightgbm,34694,11755,6720,0.4078130771767623,0.4198441476412718,0.41199489578902593,1.06418445713361,40,12,0.001
01C_run_0001_h12_band000100_logreg,logistic_regression,34694,11755,6720,0.4013564264169462,0.42120498960591823,0.41088898341131436,1.0699038013484667,0,12,0.001
