baseline_name,prediction_style,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,log_loss_value
selected_model,lightgbm_multiclass,0.4357346866182666,0.0,0.4359602548869244,0.0,0.4809458999659748,0.0,1.018597728675886
flat_only,always_predict_flat,0.21616753846448622,0.0,0.3333333333333333,0.0,0.47984008166042874,0.0,7.186275803331304
uniform_random,sample_uniform_300x,0.32590316058515145,0.004423460024090733,0.33347786988970607,0.004580744233707606,0.3335374844051265,0.00456572983095104,1.0986122886681096
frequency_based,sample_train_freq_300x,0.332618596979401,0.004256668093257049,0.3331666679279975,0.004339626795596225,0.35710105478053755,0.004225086289700501,1.0551570294082486
