min_probability_diff,valid_candidate_rows,valid_trade_count,valid_long_trade_count,valid_short_trade_count,valid_threshold_no_trade_rows,valid_diff_rejected_rows,valid_dual_signal_rows,valid_hit_rate,valid_mean_trade_return,valid_median_trade_return,valid_sum_return,valid_compounded_return,valid_max_drawdown,test_candidate_rows,test_trade_count,test_long_trade_count,test_short_trade_count,test_threshold_no_trade_rows,test_diff_rejected_rows,test_dual_signal_rows,test_hit_rate,test_mean_trade_return,test_median_trade_return,test_sum_return,test_compounded_return,test_max_drawdown,valid_test_compounded_delta
0.08,11756,989,492,497,5295,3494,2789,0.5166835187057633,7.610847412981716e-05,0.00010192635718775378,0.07527128091438917,0.07091008566605717,-0.08153811963403901,6720,259,70,189,3499,2444,1894,0.49034749034749037,0.00017313218838783357,-5.041074676459534e-05,0.04484123679244889,0.04473588414505669,-0.043828592452737736,-0.026174201521000473
0.1,11756,713,363,350,5387,4230,3067,0.5105189340813464,4.6164535810248526e-05,7.567765556681927e-05,0.0329153140327072,0.027376924709992423,-0.10144025496782005,6720,161,35,126,3511,2726,2006,0.5093167701863354,0.00024361383537218346,3.0363327577775934e-05,0.039221827494921535,0.039188197826138804,-0.0309434757420064,0.011811273116146381
0.06,11756,1363,686,677,5189,2478,2410,0.5025678650036683,1.2824610582532008e-05,1.289188095121574e-05,0.01747994422399113,0.009656185160902275,-0.1011693314468779,6720,458,167,291,3434,1912,1687,0.5218340611353712,0.0002536584683941327,0.00010620976331010556,0.11617557852451277,0.12145238611363474,-0.042288676923984525,0.11179620095273246
0.16,11756,198,108,90,5454,5708,3569,0.46464646464646464,7.831686308710431e-06,-0.0003335585292700838,0.0015506738891246652,-0.002503478871328846,-0.09327214454468469,6720,33,2,31,3518,3103,2194,0.48484848484848486,0.000622270209329095,-0.00010493692169544211,0.020534916907860135,0.020571367912290084,-0.010228718510965629,0.02307484678361893
0.14,11756,315,166,149,5445,5366,3449,0.5015873015873016,-1.0564416936065423e-05,7.252363852350285e-06,-0.003327791334860608,-0.007909300818785603,-0.08384811575533446,6720,56,7,49,3518,3034,2153,0.5178571428571429,0.0003512898871934146,0.0002260291807668624,0.01967223368283122,0.019618982988835354,-0.021577620822820442,0.027528283807620957
0.2,11756,110,67,43,5455,5971,3665,0.4909090909090909,-0.00016505847877751738,-3.374050944882079e-05,-0.01815643266552691,-0.02093727788645683,-0.0870793740811443,6720,16,1,15,3518,3154,2223,0.4375,0.0009614796794144634,-0.00016270362097814406,0.015383674870631414,0.01539258451735459,-0.00522204988428121,0.03632986240381142
0.18,11756,143,77,66,5455,5872,3619,0.46853146853146854,-0.00020995451459088793,-0.0004077510100254367,-0.030023495586496973,-0.03310600384584239,-0.10407695546470108,6720,25,1,24,3518,3127,2205,0.44,0.00037050976699953164,-0.000220470320260846,0.009262744174988291,0.009150280738221994,-0.008804394505898094,0.042256284584064385
0.12,11756,485,259,226,5425,4876,3273,0.4927835051546392,-7.58653467640885e-05,-7.144013792714787e-05,-0.03679469318058293,-0.04105104642301194,-0.07921835227404572,6720,93,16,77,3518,2923,2098,0.5161290322580645,0.00047525244620221803,0.00012198578215050215,0.04419847749680628,0.04468107636845842,-0.020658515552664625,0.08573212279147036
0.04,11756,1741,893,848,5057,1476,2004,0.48994830557151064,-2.7585525666156675e-05,-4.982990561708256e-05,-0.04802640018477877,-0.05669019457676905,-0.10378388154705254,6720,714,284,430,3337,1241,1413,0.542016806722689,0.000208075791663092,0.00019464798119323,0.14856611524744767,0.15766859141420064,-0.03514513225950067,0.2143587859909697
0.02,11756,2082,1069,1013,4948,562,1575,0.48703170028818443,-4.549163226443381e-05,-7.360117312921188e-05,-0.09471357837455119,-0.09960049300542462,-0.11033010294169332,6720,1006,437,569,3234,469,1041,0.547713717693837,0.00023091930179870395,0.00023154066763148018,0.23230481760949617,0.25808406715209053,-0.033460548590392936,0.35768456015751515
0.0,11756,2292,1175,1117,4880,0,1303,0.4912739965095986,-5.405135583876124e-05,-4.620524805420967e-05,-0.12388570758244077,-0.12695285506672582,-0.12639340523747022,6720,1180,528,652,3181,0,783,0.5449152542372881,0.00017888764970296758,0.00019878665962713704,0.21108742664950175,0.23116400604981302,-0.033267584456213695,0.35811686111653884
